frame_num,eye_state,flag,inner_x,inner_y,outer_x,outer_y,pupil_x,pupil_y
0,0.9999998999999999,,929.5487232791822,475.55778964288015,857.7975978393338,474.07493905439554,891.2841572312254,466.99499938942927
1,0.9999998999999999,,929.590085621978,475.585966716146,857.7462645847012,474.14782179227615,891.2919745480704,467.00458353047446
2,0.9999998999999999,,929.853445387269,475.53884563593857,858.093242107769,474.30063295814034,891.4115622270626,467.1348139773208
3,0.9999998999999999,,930.0999626059621,475.73018212627886,858.4444452494793,474.84462579001814,891.8159164891017,467.5110802703237
4,0.9999998999999999,,930.5563432615072,475.9433218038258,858.5495826348816,475.0498860307629,892.1440015319049,467.7024558938446
5,0.9999998999999999,,930.952780939425,476.2062069059095,859.0499198642797,475.21314388486434,892.4645136375575,467.9906043812564
6,0.9999998999999999,,931.0866841798562,476.0296831669213,859.1297982214813,475.4689572485673,893.0391003068919,468.06868465196465
7,0.9999998999999999,,931.3504282967193,476.35078189201096,859.6108567886629,475.4703988759182,893.5265611416878,468.29195072699997
8,0.9999998999999999,,931.6377562436842,476.2038968398442,859.6223564633603,475.7909008553892,893.7029118142257,468.26015309967516
9,0.9999998999999999,,931.7922326685465,476.07573977422135,859.7393320235083,475.7260151760211,893.7170853628853,468.191307507487
10,0.9999998999999999,,932.0788680248044,476.0603762946228,860.0568175695839,475.79638598665184,894.3268237449582,468.04609763247396
11,0.9999998999999999,,932.2562459983059,475.8977850724672,860.5314178667371,475.8239461576042,894.4451794318378,468.16300872736014
12,0.9999998999999999,,932.7576397643891,475.846297793442,860.7521962775944,475.94546373434173,894.4349516111822,468.20998457420524
13,0.9999998999999999,,933.1625444059557,475.93704192519897,861.0486444911069,476.00267536834525,894.8827327637189,468.2182505829555
14,0.9999998999999999,,933.4551377089256,476.0916712882376,861.0964117034232,476.4154111869906,894.9472078485009,468.5181726438222
15,0.9999998999999999,,933.4852913021733,476.07538018302745,861.1884500288593,476.37555295368674,895.1912003768931,468.63359347911836
16,0.9999998999999999,,934.3571839916632,476.45258078068434,861.5039800510592,476.28002518140914,895.6775789174169,468.7787722339953
17,0.9999998999999999,,934.5272996770263,476.532651451889,861.7114706521139,476.20956500631,896.0139296414434,468.7688324514859
18,0.9999998999999999,,934.9785334252227,476.71838300006425,862.0700579160425,476.1413860466189,896.4555642683538,468.90691994404
19,0.99999976,,935.4330207639952,476.9108607659845,862.2828807786693,476.2116931380908,896.8443510454895,469.0712271607906
20,0.9999998999999999,,935.6188069125348,476.8851176975482,862.1479100693012,476.32386586806297,897.3503804615112,468.9250812733551
21,0.9999998999999999,,935.5819901733432,476.91039989900526,862.2493445122229,476.4577419212844,897.3687771401817,468.6753345743141
22,0.9999998999999999,,935.6392818692797,477.01833252624914,862.1364584867403,476.45813990926905,897.3890318865964,468.6691285540828
23,0.9999998999999999,,935.948663094084,477.20937925631034,862.353811221567,476.44336415661763,897.6362749919562,468.9104052630669
24,0.9999998999999999,,935.8960213065224,477.279770628956,862.2394041114412,476.4873349873017,897.6635813665167,468.85471934941427
25,0.9999998999999999,,935.686464828056,477.2487256577874,862.2478048780837,476.42450011210417,897.6349583102979,468.94808362013407
26,0.9999998999999999,,935.5211222203847,477.363935294198,862.0018076715235,476.5314446005418,897.4874242929327,469.14410458915853
27,0.9999998999999999,,935.0311914233804,477.44093744372566,861.7222656741675,476.65998437767615,897.3323322198003,469.1611142659785
28,0.9999998999999999,,934.9494307188189,477.66337038376184,861.6797388786479,476.6786700556167,897.1911147610472,469.2502252152029
29,0.9999998999999999,,935.0830960635623,477.6327890352829,861.718335740003,476.64852017759324,897.1485367817412,469.2626437693037
30,0.9999998999999999,,935.1208826441144,477.8416959957835,861.7158670117097,476.65672143481794,897.1258799645904,469.3496973459442
31,0.9999998999999999,,935.2017565875676,477.89519403243065,861.7142000538811,476.6520097940149,897.1115613647203,469.42855572502197
32,0.9999998999999999,,935.079653426119,477.7185140630085,861.4031902381422,476.61459857196814,897.0172972302486,469.4323459157284
33,0.9999998999999999,,935.0478795148888,477.6395667902888,861.3202779003238,476.6506666096357,896.9462823733618,469.3442848946053
34,0.9999998999999999,,934.7317205557137,477.37617968032373,861.1355678224173,476.70842447691217,896.8496924837394,469.3032191449595
35,0.9999998999999999,,934.5327401933363,477.3903337575592,860.8834985284427,476.70796494033965,896.8266350202948,469.17570541460435
36,0.9999998999999999,,934.1965190358023,477.1919492154576,860.8624160414105,476.66131956441626,896.6290871810353,469.0316026946264
37,0.9999998999999999,,933.8615190486372,477.10288224279935,860.7288148681571,476.52827566645334,896.4489543952858,469.0159552793691
38,0.9999998999999999,,933.6685981366768,477.07214307139526,860.7789736487939,476.52725074864594,896.1596210661705,468.96051639092826
39,0.9999998999999999,,933.7060465812137,477.3026284538395,860.8167348497494,476.46584657472573,896.0218759322183,469.0111656486629
40,0.9999998999999999,,933.7512228735594,477.343601588894,860.8080855117546,476.299811832104,896.4934845279673,468.95287324087235
41,0.9999998999999999,,933.9026596292323,477.2434141388953,860.7569856752871,476.23179184004607,896.85241285425,468.90415606603136
42,0.9999998999999999,,934.0505295649465,477.3244044349617,860.8585933541102,476.1923471490843,897.0772850066742,469.00228559171313
43,0.9999998999999999,,934.1764786511542,477.2881459955169,861.0405335579103,476.1849122707906,897.3249271942924,468.96449923830727
44,0.9999998999999999,,934.7156571537573,477.2394345120489,861.3069336835989,475.9195208356993,897.7540041467253,468.64443634384827
45,0.9999998999999999,,934.834518220209,477.1141574671813,861.6571176565891,475.8850644587763,898.1718990131528,468.555817420317
46,1.0,,935.2033993413364,477.14822012554407,861.7496506988039,476.0861218471321,898.5892099485671,468.4920262090185
47,0.9999998999999999,,935.2427429717308,477.14525205904886,862.2247558679181,475.8945280241211,898.7352581873064,468.52908697762655
48,0.9999998999999999,,935.4443913904075,476.8961150208953,862.1971745779888,475.83873403623664,899.0801149162544,468.26361010353105
49,0.9999998999999999,,935.7072165544665,476.9934268335714,862.4043920512307,475.6921987138877,899.324948030804,468.3117782782163
50,0.9999998999999999,,935.783920231472,476.90518640745375,862.5297180046123,475.56502199618194,899.5444070559967,468.2291943889887
51,0.9999998999999999,,936.027044165811,477.0172451760195,862.5639942633627,475.6681875353727,899.7749146782664,468.4035105196658
52,0.9999998999999999,,936.4373417442675,477.069554516324,862.8926419968589,475.5116719091565,900.3989560981105,468.27395093778136
53,0.9999998999999999,,937.1183241537944,476.97519444233114,863.3890873559383,475.28321855039167,900.9359296017667,468.1225622772048
54,0.9999998999999999,,937.4922131252406,477.1272053128238,863.7873568821174,475.3350174358352,901.5405866356003,468.18330528188216
55,0.9999998999999999,,937.7172707320082,476.98425063831434,864.2114637739162,475.2851396687655,902.0505751057975,468.0957678057482
56,0.9999998999999999,,937.6482246255057,476.6867044197327,864.4121477278163,475.0818338912377,902.2860388850766,467.86831349871363
57,0.9999998999999999,,937.8776900787167,476.67228555397935,864.5623537845427,475.1677959099205,902.4926895005603,467.8686163302179
58,1.0,,938.0471511116183,476.8689930405399,864.6918386034417,475.00045942911515,902.5887929195419,468.014916524186
59,0.9999998999999999,,938.1041702772465,476.8434438715032,864.8805271666928,474.84801075071573,902.765843174299,467.9408888770858
60,0.9999998999999999,,938.0841139506216,476.60590095272164,864.8715845979252,474.9061364608275,902.7459648389972,467.8017981883998
61,1.0,,938.0124386544077,476.46182011124483,864.6787852660685,474.97076280831743,902.7784252535292,467.7065686399258
62,1.0,,938.0633553771041,476.6455899695211,864.4831727083597,475.1802591552927,902.7250796294843,467.7932641113407
63,1.0,,937.7754072443687,476.6517780287265,864.375610789687,475.19588184610166,902.7108301910154,467.83157213092574
64,1.0,,937.5751360952933,476.6043664365527,864.2635400042934,475.1673972293304,902.7170375515112,467.7078107102071
65,0.9999998999999999,,937.5361830073317,476.5618204135531,864.245324783808,475.1287294374483,902.6805793271933,467.7022050069054
66,1.0,,937.5998643259312,476.5707383418216,864.2455277480102,475.2174704332885,903.1204701334372,467.7098381707574
67,1.0,,937.6460552122234,476.60445116547294,864.2799976102832,475.21010079683646,903.1726934721573,467.76400191149474
68,1.0,,937.4602765805768,476.6065519044735,864.1182086993475,475.2067976614413,903.2702931223672,467.75783588553145
69,1.0,,937.4482834968472,476.6449675699771,864.1178165361541,475.1840634417217,903.2979999403683,467.8091026844199
70,1.0,,937.3838830767836,476.5978024524665,864.1142634479265,475.31459142334137,903.4534852141327,467.8060844934907
